,time,high,low,open,volumefrom,volumeto,close,RealTime
1777,1626480000,1373.88,1348.11,1356.26,180558.04,248023550.29,1373.65,2021-07-17
1778,1626566400,1430.18,1370.3,1373.65,279617.98,383352685.79,1370.99,2021-07-18
1779,1626652800,1353.93,1323.79,1370.99,218050.52,289192282.03,1326.26,2021-07-19
1780,1626739200,1318.52,1259.32,1326.26,278521.39,363416980.46,1304.81,2021-07-20
1781,1626825600,1458.96,1394.29,1304.81,351521.29,511207846.87,1454.27,2021-07-21
1782,1626912000,1472.68,1439.65,1454.27,295978.28,434702762.78,1468.7,2021-07-22
1783,1626998400,1556.9,1519.33,1468.7,279117.21,430334982.98,1541.77,2021-07-23
1784,1627084800,1597.39,1567.22,1541.77,232793.84,370295507.47,1590.66,2021-07-24
1785,1627171200,1641.3,1590.92,1590.66,189551.41,301658618.35,1591.43,2021-07-25
1786,1627257600,1677.91,1588.57,1591.43,550395.86,883644754.67,1605.47,2021-07-26
1787,1627344000,1707.77,1650.29,1605.47,417358.75,688764984.04,1650.29,2021-07-27
1788,1627430400,1673.77,1634.52,1650.29,355169.08,584703829.72,1646.27,2021-07-28
1789,1627516800,1702.61,1632.71,1646.27,291548.19,495145436.94,1698.33,2021-07-29
1790,1627603200,1828.91,1752.31,1698.33,332766.17,583310799.7,1752.91,2021-07-30
1791,1627689600,1796.91,1711.01,1752.91,257881.02,463161090.84,1796.03,2021-07-31
1792,1627776000,1862.03,1747.53,1796.03,408598.48,749592497.4,1834.55,2021-08-01
1793,1627862400,1884.79,1788.34,1834.55,334751.49,626888923.18,1872.7,2021-08-02
1794,1627948800,1826.37,1750.27,1872.7,330910.32,594762288.81,1797.35,2021-08-03
1795,1628035200,1975.72,1860.54,1797.35,391959.41,766355285.58,1955.19,2021-08-04
1796,1628121600,2124.31,1967.77,1955.19,606092.46,1220162683.83,2013.16,2021-08-05
1797,1628208000,2132.64,2044.42,2013.16,418024.19,864476313.94,2068.01,2021-08-06
1798,1628294400,2276.32,2136.84,2068.01,435753.42,983588103.15,2257.21,2021-08-07
1799,1628380800,2217.57,2112.71,2257.21,321132.98,687153462.3,2139.78,2021-08-08
1800,1628467200,2258.56,2188.91,2139.78,333522.13,745428306.48,2235.02,2021-08-09
